## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.fuelType,entity.modelId,entity.modelType,entity.trim,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
QASHQAIJ12A,Nissan Qashqai,,,id1,30440,https://mayan1394.github.io/product_recommendations/prod1.html,1,,Petrol,,SUV,Red,,,,,,,
JUKEF16A,Nissan Juke,,,id2,20985,https://mayan1394.github.io/product_recommendations/prod2.html,1,,Petrol,,Hatchback,Red,,,,,,,
LEAFZE1A,Nissan LEAF,,,id3,28495,https://mayan1394.github.io/product_recommendations/prod3.html,1,,Petrol,,Hatchback,Red,,,,,,,
ARIYAFE0A,Nissan ARIYA,,,id4,39645,https://mayan1394.github.io/product_recommendations/prod4.html,1,,Petrol,,SUV,Red,,,,,,,
XTRAILT33A,Nissan X-Trail,,,id5,32890,https://mayan1394.github.io/product_recommendations/prod5.html,0,,Petrol,,Sedan,Red,,,,,,,
TOWNSTARVANXFK1,Nissan Townstar,,,id6,74900,https://mayan1394.github.io/product_recommendations/prod6.html,0,,Petrol,,Sedan,Red,,,,,,,
QASHQAIJ12A,Nissan Qashqai,,,id1,30440,https://mayan1394.github.io/product_recommendations/prod1.html,1,,Diesel,,SUV,Blue,,,,,,,
JUKEF16A,Nissan Juke,,,id2,20985,https://mayan1394.github.io/product_recommendations/prod2.html,1,,Diesel,,Hatchback,Blue,,,,,,,
LEAFZE1A,Nissan LEAF,,,id3,28495,https://mayan1394.github.io/product_recommendations/prod3.html,1,,Diesel,,Hatchback,Blue,,,,,,,
ARIYAFE0A,Nissan ARIYA,,,id4,39645,https://mayan1394.github.io/product_recommendations/prod4.html,1,,Diesel,,SUV,Blue,,,,,,,
XTRAILT33A,Nissan X-Trail,,,id5,32890,https://mayan1394.github.io/product_recommendations/prod5.html,0,,Diesel,,Sedan,Blue,,,,,,,
TOWNSTARVANXFK1,Nissan Townstar,,,id6,74900,https://mayan1394.github.io/product_recommendations/prod6.html,0,,Diesel,,Sedan,Blue,,,,,,,
QASHQAIJ12A,Nissan Qashqai,,,id1,30440,https://mayan1394.github.io/product_recommendations/prod1.html,1,,EV,,SUV,White,,,,,,,
JUKEF16A,Nissan Juke,,,id2,20985,https://mayan1394.github.io/product_recommendations/prod2.html,1,,EV,,Hatchback,White,,,,,,,
LEAFZE1A,Nissan LEAF,,,id3,28495,https://mayan1394.github.io/product_recommendations/prod3.html,1,,EV,,Hatchback,White,,,,,,,
ARIYAFE0A,Nissan ARIYA,,,id4,39645,https://mayan1394.github.io/product_recommendations/prod4.html,1,,EV,,SUV,White,,,,,,,
XTRAILT33A,Nissan X-Trail,,,id5,32890,https://mayan1394.github.io/product_recommendations/prod5.html,0,,EV,,Sedan,White,,,,,,,
TOWNSTARVANXFK1,Nissan Townstar,,,id6,74900,https://mayan1394.github.io/product_recommendations/prod6.html,0,,EV,,Sedan,White,,,,,,,
QASHQAIJ12A,Nissan Qashqai,,,id1,30440,https://mayan1394.github.io/product_recommendations/prod1.html,1,,Hybrid,,SUV,Black,,,,,,,
JUKEF16A,Nissan Juke,,,id2,20985,https://mayan1394.github.io/product_recommendations/prod2.html,1,,Hybrid,,Hatchback,Black,,,,,,,
LEAFZE1A,Nissan LEAF,,,id3,28495,https://mayan1394.github.io/product_recommendations/prod3.html,1,,Hybrid,,Hatchback,Black,,,,,,,
ARIYAFE0A,Nissan ARIYA,,,id4,39645,https://mayan1394.github.io/product_recommendations/prod4.html,1,,Hybrid,,SUV,Black,,,,,,,
XTRAILT33A,Nissan X-Trail,,,id5,32890,https://mayan1394.github.io/product_recommendations/prod5.html,0,,Hybrid,,Sedan,Black,,,,,,,
TOWNSTARVANXFK1,Nissan Townstar,,,id6,74900,https://mayan1394.github.io/product_recommendations/prod6.html,0,,Hybrid,,Sedan,Black,,,,,,,
