## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.modelSpecCode,entity.grade,entity.fullColour,entity.fuelType,entity.transmission,entity.driveTrain,entity.interiorColor,entity.exteriorColor,entity.engineDesc,entity.custom10,...
29594_326G_TDZAREYJ12TEBB-3E-,QASHQAIJ12A,,,,,,,,29594,N-Connecta,326G,Petrol,Manual,2WD,326,G,DIG-T 140 Mild Hybrid,,
29594_KADG_TDZAREYJ12TEBB-3--,QASHQAIJ12A,,,,,,,,29594,N-Connecta,KADG,Petrol,Manual,2WD,KAD,G,DIG-T 140 Mild Hybrid,,
29594_RCFG_TDNARE9J12HEBB-3--,QASHQAIJ12A,,,,,,,,29594,N-Connecta,RCFG,Petrol / Electric,Automatic,2WD,RCF,G,190 e-POWER,,
29594_326G_TDNARE9J12HEBB-3--,QASHQAIJ12A,,,,,,,,29594,N-Connecta,326G,Petrol / Electric,Automatic,2WD,326,G,190 e-POWER,,
29594_QABG_TDZAREYJ12TEBB-3E-,QASHQAIJ12A,,,,,,,,29594,N-Connecta,QABG,Petrol,Manual,2WD,QAB,G,DIG-T 140 Mild Hybrid,,
29594_NBVB_TDZARJYJ12UEBTJW--,QASHQAIJ12A,,,,,,,,29594,Tekna,NBVB,Petrol,Manual,2WD,NBV,B,DIG-T 158 Mild Hybrid,,
29594_Z10G_TDZAREWJ12UEB--3--,QASHQAIJ12A,,,,,,,,29594,N-Connecta,Z10G,Petrol,Automatic,4WD,Z10,G,DIG-T 158 Mild Hybrid,,
29594_Z11G_TDZAREWJ12UEB--3--,QASHQAIJ12A,,,,,,,,29594,N-Connecta,Z11G,Petrol,Automatic,4WD,Z11,G,DIG-T 158 Mild Hybrid,,
29594_QABG_TDNARE9J12HEB--3--,QASHQAIJ12A,,,,,,,,29594,N-Connecta,QABG,Petrol / Electric,Automatic,4WD,QAB,G,190 e-POWER,,
29594_Z10G_TDNARE9J12HEBB-3--,QASHQAIJ12A,,,,,,,,29594,Tekna,Z10G,Petrol / Electric,Automatic,4WD,Z10,G,190 e-POWER,,
29594_XFVB_TDNARG9J12HEBBARDM,QASHQAIJ12A,,,,,,,,29594,Visia,XFVB,Petrol / Electric,Automatic,4WD,XFV,B,190 e-POWER,,
