## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.modelSpecCode,entity.grade,entity.fullColour,entity.filteringColour,entity.fuelType,entity.transmission,entity.driveTrain,entity.interiorColor,entity.exteriorColor,entity.versionCode,entity.versionDescription,entity.dealerId,entity.dealerName,entity.eimCode,entity.filterCollectionValue
SJNFAAF16U1294693,Juke,,,,25210,,1,,29898,N-Connecta,Z11G,Pearl Black,Petrol,Manual,2WD,,,F93BI3F01,DIG-T 114 6MT 2WD N-Connecta,51627,Glyn Hopkin Ltd,FRNARUYF16UEBHUBR-,Mayank
SJNFAAF16U1297091,Juke,,,,25730,,1,,29898,N-Connecta,XDXG,Two Tone: Burgundy with Pearl Black Roof and door mirrors,Petrol,Manual,2WD,,,F93BI3F01,DIG-T 114 6MT 2WD N-Connecta,51538,Wessex Garages Cardiff,FRNARUYF16UEBHUBS-,Mayank
SJNFCAF16U1297142,Juke,,,,30455,,1,,29898,Tekna,KBYG,Ceramic Grey,Petrol / Electric,Automatic,2WD,,,F94HIHG01,Hybrid 143 2WD Tekna,51957,West Way Coventry,FDTARVXF16HEB7TDRC,Mayank
SJNFCAF16U1296722,Juke,,,,30455,,1,,29898,Tekna,NBQG,Burgundy,Petrol / Electric,Automatic,2WD,,,F94HIHG01,Hybrid 143 2WD Tekna,51856,Ancaster Eltham,FDTARVXF16HEB7TDRC,Mayank
SJNTAAJ12U1395325,Qashqai,,,,32940,,1,,29594,N-Connecta,326G,Arctic White,Petrol,Manual,2WD,,,G83EG3F10,DIG-T 140 Mild Hybrid Manual 2WD N-Connecta,51876,Glyn Hopkin Ltd,TDZAREYJ12TEBB-3E-,Mayank
SJNTAAJ12U1388321,Qashqai,,,,33165,,1,,29594,N-Connecta,KADG,Gun Metallic,Petrol,Manual,2WD,,,G83EG3F10,DIG-T 140 Mild Hybrid Manual 2WD N-Connecta,51911,W R Davies,TDZAREYJ12TEBB-3--,Mayank
SJNTBAJ12U1391553,Qashqai,,,,37585,,1,,29594,N-Connecta,RCFG,Magnetic blue,Petrol / Electric,Automatic,2WD,,,G83GIEF10,190 e-POWER Automatic 2WD N-Connecta,51925,Marshall Ashford,TDNARE9J12HEBB-3--,Mayank
SJNTBAJ12U1395339,Qashqai,,,,37585,,1,,29594,N-Connecta,RCFG,Magnetic blue,Petrol / Electric,Automatic,2WD,,,G83GIEF10,190 e-POWER Automatic 2WD N-Connecta,51270,Yeomans,TDNARE9J12HEBB-3--,Mayank
SJNTBAJ12U1394606,Qashqai,,,,37090,,1,,29594,N-Connecta,326G,Arctic White,Petrol / Electric,Automatic,2WD,,,G83GIEF10,190 e-POWER Automatic 2WD N-Connecta,51876,Glyn Hopkin Ltd,TDNARE9J12HEBB-3--,Mayank
JN1T33TC5U0003349,All-New X-Trail,,,,38015,,1,,29738,N-Connecta,KAYG,Champagne Silver,Petrol,Automatic,2WD,,,H61GG7FC1,VC-Turbo 163 Xtronic 2WD N-Connecta,51968,Hendy Crawley,TDNAREWT33TEA-G---,Mayank
JN1T33TC9U0003466,All-New X-Trail,,,,38135,,1,,29738,N-Connecta,QABG,Storm White,Petrol,Automatic,2WD,,,H61GG7FC1,VC-Turbo 163 Xtronic 2WD N-Connecta,51800,Trenton (Hull),TDNAREWT33TEA-G---,Mayank
JN1T33TBXU0013446,All-New X-Trail,,,,42615,,1,,29738,N-Connecta,K23G,Brilliant Silver,Petrol / Electric,Automatic,2WD,,,H61GIFFC1,e-POWER 213 Automatic 4WD e-4ORCE N-Connecta,51064,Barton Townley (Barrow) Ltd,TDNNRE9T33TEA-G---,Mayank
JN1T33JBXU0008900,All-New X-Trail,,,,43735,,1,,29738,N-Connecta,KBYG,Ceramic Grey,Petrol / Electric,Automatic,2WD,,,H61GIFFC1,e-POWER 213 Automatic 4WD e-4ORCE N-Connecta,51961,West Way Stockport,JDNNRE9T33TEA-G---,Mayank
JN1T33JB4U0008665,All-New X-Trail,,,,45130,,1,,29738,N-Connecta,XEWG,Two-Tone Champagne Silver with Black Metallic Roof,Petrol / Electric,Automatic,2WD,,,H61GIFFC1,e-POWER 213 Automatic 4WD e-4ORCE N-Connecta,51737,J Edgar & Son,JDNNRE9T33TEA-GD--,Mayank
JN1T33JB5U0009002,All-New X-Trail,,,,45130,,1,,29738,N-Connecta,XEWG,Two-Tone Champagne Silver with Black Metallic Roof,Petrol / Electric,Automatic,2WD,,,H61GIFFC1,e-POWER 213 Automatic 4WD e-4ORCE N-Connecta,51897,Marshall Reading,JDNNRE9T33TEA-GD--,Mayank
JN1T33TB2U0013229,All-New X-Trail,,,,45935,,1,,29738,Tekna,RBYG,Electric Blue,Petrol / Electric,Automatic,2WD,,,H61GIFGC1,e-POWER 213 Automatic 4WD e-4ORCE Tekna,51863,Greenhous Shrewsbury,TDNNRG9T33TEA-PX--,Mayank
JN1T33TB4U0013832,All-New X-Trail,,,,46645,,1,,29738,Tekna,NBLG,Diamond Red,Petrol / Electric,Automatic,2WD,,,H61GIFGC1,e-POWER 213 Automatic 4WD e-4ORCE Tekna,51064,Barton Townley (Barrow) Ltd,TDNNRG9T33TEA-PXF-,Mayank
JN1T33JB5U0007993,All-New X-Trail,,,,46935,,1,,29738,Tekna,K23G,Brilliant Silver,Petrol / Electric,Automatic,2WD,,,H61GIFGC1,e-POWER 213 Automatic 4WD e-4ORCE Tekna,51529,Brindley Nissan,JDNNRG9T33TEA-PX--,Mayank
