## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.inventoryId,entity.modelCode,entity.grade,entity.versionCode,entity.versionDescription,entity.version,entity.fullColour,entity.interiorColor,entity.exteriorColor,entity.fuelConsumption,entity.driveTrain,entity.fuelType,entity.transmission,entity.eimCode,entity.modelSpecCode,entity.dealerId,entity.tmpDealerName,entity.phone,entity.collectionFilter_v2
JUKEF16A_F93BI3F01_Z11G_FRNARUYF16UEBHUBR-,JUKEF16A N-Connecta,,,,25210,,1,,SJNFAAF16U1294693,JUKEF16A,N-Connecta,F93BI3F01,DIG-T 114 6MT 2WD N-Connecta,DIG-T 114 2WD,Z11G,G,Z11,48.7 mpg,2WD,Petrol,Manual,FRNARUYF16UEBHUBR-,29898,51627,Glyn Hopkin Ltd,+01206 790760,Mayank
JUKEF16A_F93BI3F01_Z11G_FRNARUYF16UEBHUBR-_5,JUKEF16A N-Connecta,,,,25210,,1,,SJNFAAF16U1294693,JUKEF16A,N-Connecta,F93BI3F01,DIG-T 114 6MT 2WD N-Connecta,DIG-T 114 2WD,Z11G,G,Z11,48.7 mpg,2WD,Petrol,Manual,FRNARUYF16UEBHUBR-,29898,51627,Glyn Hopkin Ltd,+01206 790760,Mayank
JUKEF16A_F93BI3F01_XDXG_FRNARUYF16UEBHUBS-,JUKEF16A N-Connecta,,,,25730,,1,,SJNFAAF16U1297091,JUKEF16A,N-Connecta,F93BI3F01,DIG-T 114 6MT 2WD N-Connecta,DIG-T 114 2WD,XDXG,G,XDX,48.7 mpg,2WD,Petrol,Manual,FRNARUYF16UEBHUBS-,29898,51538,Wessex Garages Cardiff,+02921 677 627,Mayank
JUKEF16A_F93BI3F01_XDXG_FRNARUYF16UEBHUBS-_1,JUKEF16A N-Connecta,,,,25730,,1,,SJNFAAF16U1297091,JUKEF16A,N-Connecta,F93BI3F01,DIG-T 114 6MT 2WD N-Connecta,DIG-T 114 2WD,XDXG,G,XDX,48.7 mpg,2WD,Petrol,Manual,FRNARUYF16UEBHUBS-,29898,51538,Wessex Garages Cardiff,+02921 677 627,Mayank
JUKEF16A_F94HIHG01_KBYG_FDTARVXF16HEB7TDRC,JUKEF16A Tekna,,,,30455,,1,,SJNFCAF16U1297142,JUKEF16A,Tekna,F94HIHG01,Hybrid 143 2WD Tekna,Hybrid 143 2WD,KBYG,G,KBY,56.5 mpg,2WD,Petrol / Electric,Automatic,FDTARVXF16HEB7TDRC,29898,51957,West Way Coventry,,Mayank
JUKEF16A_F94HIHG01_KBYG_FDTARVXF16HEB7TDRC_4,JUKEF16A Tekna,,,,30455,,1,,SJNFCAF16U1297142,JUKEF16A,Tekna,F94HIHG01,Hybrid 143 2WD Tekna,Hybrid 143 2WD,KBYG,G,KBY,56.5 mpg,2WD,Petrol / Electric,Automatic,FDTARVXF16HEB7TDRC,29898,51957,West Way Coventry,,Mayank
JUKEF16A_F94HIHG01_NBQG_FDTARVXF16HEB7TDRC,JUKEF16A Tekna,,,,30455,,1,,SJNFCAF16U1296722,JUKEF16A,Tekna,F94HIHG01,Hybrid 143 2WD Tekna,Hybrid 143 2WD,NBQG,G,NBQ,56.5 mpg,2WD,Petrol / Electric,Automatic,FDTARVXF16HEB7TDRC,29898,51856,Ancaster Eltham,+0208 331 6900,Mayank
JUKEF16A_F94HIHG01_NBQG_FDTARVXF16HEB7TDRC_4,JUKEF16A Tekna,,,,30455,,1,,SJNFCAF16U1296722,JUKEF16A,Tekna,F94HIHG01,Hybrid 143 2WD Tekna,Hybrid 143 2WD,NBQG,G,NBQ,56.5 mpg,2WD,Petrol / Electric,Automatic,FDTARVXF16HEB7TDRC,29898,51856,Ancaster Eltham,+0208 331 6900,Mayank
QASHQAIJ12A_G83EG3F10_326G_TDZAREYJ12TEBB-3E-,QASHQAIJ12A N-Connecta,,,,32940,,1,,SJNTAAJ12U1395325,QASHQAIJ12A,N-Connecta,G83EG3F10,DIG-T 140 Mild Hybrid Manual 2WD N-Connecta,DIG-T 140 Mild Hybrid 2WD,326G,G,326,44.1 mpg,2WD,Petrol,Manual,TDZAREYJ12TEBB-3E-,29594,51876,Glyn Hopkin Ltd,01223 906838,Mayank
QASHQAIJ12A_G83EG3F10_KADG_TDZAREYJ12TEBB-3--,QASHQAIJ12A N-Connecta,,,,33165,,1,,SJNTAAJ12U1388321,QASHQAIJ12A,N-Connecta,G83EG3F10,DIG-T 140 Mild Hybrid Manual 2WD N-Connecta,DIG-T 140 Mild Hybrid 2WD,KADG,G,KAD,44.1 mpg,2WD,Petrol,Manual,TDZAREYJ12TEBB-3--,29594,51911,W R Davies,+01952 211 720,Mayank
QASHQAIJ12A_G83EG3F10_KADG_TDZAREYJ12TEBB-3--_8,QASHQAIJ12A N-Connecta,,,,33165,,1,,SJNTAAJ12U1388321,QASHQAIJ12A,N-Connecta,G83EG3F10,DIG-T 140 Mild Hybrid Manual 2WD N-Connecta,DIG-T 140 Mild Hybrid 2WD,KADG,G,KAD,44.1 mpg,2WD,Petrol,Manual,TDZAREYJ12TEBB-3--,29594,51911,W R Davies,+01952 211 720,Mayank
QASHQAIJ12A_G83GIEF10_RCFG_TDNARE9J12HEBB-3--,QASHQAIJ12A N-Connecta,,,,37585,,1,,SJNTBAJ12U1391553,QASHQAIJ12A,N-Connecta,G83GIEF10,190 e-POWER Automatic 2WD N-Connecta,190 e-POWER 2WD,RCFG,G,RCF,54.3 mpg,2WD,Petrol / Electric,Automatic,TDNARE9J12HEBB-3--,29594,51925,Marshall Ashford,1233504140,Mayank
